workload,n_qubits,backend,opt_level,shots,transpile_time_s,runtime_s,depth,gate_count,two_qubit_gate_count,quality_score
ghz,3,ideal_simulator,0,512,0.3343459579918999,0.003758416001801379,4,6,2,1.0
ghz,3,ideal_simulator,1,512,0.04157712499727495,0.0006691659946227446,4,6,2,1.0
ghz,3,ideal_simulator,2,512,0.04325408399745356,0.0006740829994669184,4,6,2,1.0
ghz,3,ideal_simulator,3,512,0.03952716699859593,0.0006229999999050051,4,6,2,1.0
ghz,3,fake_nairobi,0,512,0.0036158750008326024,0.0107644999952754,6,8,2,0.900390625
ghz,3,fake_nairobi,1,512,0.002010041003813967,0.008692375005921349,6,8,2,0.88671875
ghz,3,fake_nairobi,2,512,0.004018709005322307,0.008416291995672509,6,8,2,0.9140625
ghz,3,fake_nairobi,3,512,0.0042177499999525025,0.008402332998230122,6,8,2,0.91796875
ghz,5,ideal_simulator,0,512,0.03966037499776576,0.0008201249875128269,6,10,4,1.0
ghz,5,ideal_simulator,1,512,0.0388827080023475,0.000980666998657398,6,10,4,1.0
ghz,5,ideal_simulator,2,512,0.03967716699116863,0.0008147080079652369,6,10,4,1.0
ghz,5,ideal_simulator,3,512,0.041013374997419305,0.0008084159926511347,6,10,4,1.0
ghz,5,fake_nairobi,0,512,0.0030409589962800965,0.009544750006170943,14,18,10,0.859375
ghz,5,fake_nairobi,1,512,0.0018645829986780882,0.008532292005838826,8,12,4,0.87109375
ghz,5,fake_nairobi,2,512,0.0038432500005001202,0.008707000000867993,8,12,4,0.90625
ghz,5,fake_nairobi,3,512,0.0031387909984914586,0.008739958997466601,8,12,4,0.87109375
